overallocation,conflicts,undersupport,unavailable,unpreferred
6,6,10,7.0,8.0
9,4,3,5.0,15.0
11,4,0,2.0,29.0
7,2,5,12.0,8.0
4,0,11,9.0,9.0
9,6,0,4.0,20.0
10,2,1,10.0,14.0
10,8,0,3.0,22.0
8,0,2,5.0,22.0
8,2,2,3.0,24.0
9,4,2,3.0,22.0
3,0,11,7.0,14.0
8,0,4,10.0,11.0
7,0,2,11.0,16.0
8,6,7,10.0,9.0
10,0,3,7.0,16.0
4,0,8,17.0,8.0
10,8,4,16.0,7.0
14,8,0,0.0,31.0
9,2,4,17.0,8.0
11,2,1,9.0,15.0
9,0,3,10.0,12.0
10,8,2,1.0,22.0
15,16,0,0.0,28.0
6,6,5,1.0,22.0
8,4,5,4.0,16.0
8,2,1,4.0,25.0
3,4,8,3.0,17.0
2,0,12,5.0,17.0
10,0,0,7.0,21.0
4,2,7,4.0,16.0
6,6,9,8.0,10.0
5,0,8,13.0,10.0
6,0,8,0.0,21.0
5,2,3,4.0,21.0
7,0,7,8.0,12.0
7,0,9,2.0,17.0
8,4,8,13.0,7.0
6,6,7,7.0,13.0
6,4,4,2.0,25.0
11,2,1,6.0,18.0
10,2,1,4.0,23.0
11,0,1,4.0,23.0
6,0,10,1.0,18.0
8,0,3,14.0,12.0
7,2,5,1.0,22.0
12,4,1,3.0,20.0
8,4,2,4.0,20.0
3,2,8,2.0,18.0
10,0,0,11.0,19.0
8,4,4,8.0,13.0
12,8,0,2.0,24.0
7,0,11,4.0,14.0
8,6,3,1.0,24.0
10,2,2,15.0,11.0
10,4,1,11.0,13.0
3,4,7,4.0,17.0
4,0,11,8.0,10.0
12,0,0,6.0,19.0
8,4,3,2.0,23.0
8,4,3,4.0,19.0
5,0,9,2.0,19.0
4,0,5,4.0,18.0
6,0,4,6.0,18.0
9,0,2,10.0,13.0
6,0,5,7.0,15.0
6,4,3,8.0,17.0
11,8,1,1.0,23.0
7,6,8,8.0,10.0
6,0,5,11.0,12.0
6,0,10,8.0,11.0
4,0,8,6.0,15.0
8,4,6,17.0,5.0
4,0,4,3.0,20.0
7,6,2,8.0,18.0
6,0,5,16.0,9.0
9,2,1,8.0,20.0
4,0,11,5.0,16.0
8,6,5,8.0,11.0
9,2,5,16.0,7.0
8,4,5,16.0,7.0
9,6,4,9.0,11.0
5,0,10,1.0,19.0
7,2,7,11.0,8.0
9,0,2,4.0,22.0
10,0,2,4.0,19.0
2,4,9,3.0,16.0
9,0,1,6.0,22.0
4,0,8,7.0,14.0
